arr,value,id,account_id,source,closed_date,start_date,end_date,cancellation_date,original_end_date,number_of_licenses,type,industry
4500,4500,a1d090000002BRcAAM,0010900001jyZ0OAAU,salesforce,2022-12-31,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Agent
2500,2500,a1d090000002C4FAAU,0010900001k0wV4AAI,salesforce,2023-01-10,2023-01-10,2024-01-09,,2024-01-09,1,New Business,Residential developer
2000,2000,a1d090000002Fx9AAE,0010900001lviLkAAI,salesforce,2023-02-17,2023-02-21,2024-02-20,,2024-02-20,1,New Business,Residential developer
6000,6000,a1d090000002CAcAAM,0010900001lvm9sAAA,salesforce,2023-01-11,2023-01-11,2024-01-10,,2024-01-10,1,New Business,Residential developer
4000,4000,a1d090000002CEPAA2,0010900001lvTdHAAU,salesforce,2023-01-12,2023-01-12,2024-01-11,,2024-01-11,1,New Business,Residential developer
2500,2500,a1d09000000pnY2AAI,0010900001lw0PXAAY,salesforce,2023-04-25,2023-04-28,2024-04-27,,2024-04-27,1,New Business,Residential developer
4750,4750,a1d090000002LAxAAM,0010900001lwvhUAAQ,salesforce,2023-03-24,2023-03-24,2024-03-23,,2024-03-23,1,New Business,Residential developer
2500,2500,a1d090000002E5ZAAU,0010900001lxRBmAAM,salesforce,2023-01-30,2023-01-30,2024-01-29,,2024-01-29,1,New Business,Property services company
4800,4800,a1d090000002ERpAAM,0010900001lxu57AAA,salesforce,2023-02-03,2023-02-03,2024-02-02,,2024-02-02,1,New Business,Power developer
2500,2500,a1d090000002LRkAAM,0010900001nkQDvAAM,salesforce,2023-03-27,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Consultant
4500,4500,a1d09000000posNAAQ,0010900001nm7uBAAQ,salesforce,2023-05-03,2023-05-05,2024-05-04,,2024-05-04,1,New Business,Consultant
6000,6000,a1d090000002FQVAA2,0010900001nnyFLAAY,salesforce,2023-02-13,2023-02-28,2024-02-28,,2024-02-28,1,New Business,Residential developer
2000,2000,a1d090000002F3gAAE,0010900001om5JhAAI,salesforce,2023-02-10,2023-02-10,2024-02-09,,2024-02-09,1,New Business,Agent
2500,2500,a1d090000002IQsAAM,0010900001omAS6AAM,salesforce,2023-03-06,2023-03-28,2024-03-27,,2024-03-27,1,New Business,Residential developer
2500,2500,a1d090000002IwBAAU,0010900001omU28AAE,salesforce,2023-03-10,2023-03-10,2024-03-09,,2024-03-09,1,New Business,Residential developer
9000,9000,a1d090000002JZTAA2,0010900001oowJHAAY,salesforce,2023-03-14,2023-03-14,2024-03-13,,2024-03-13,3,New Business,Power developer
6000,6000,a1d090000002GFcAAM,0010900001qbp5SAAQ,salesforce,2023-02-21,2023-02-21,2024-02-20,,2024-02-20,1,New Business,Residential developer
4500,4500,a1d090000002GpoAAE,0010900001qbW0XAAU,salesforce,2023-02-24,2023-02-28,2024-02-28,,2024-02-28,1,New Business,Agent
2500,2500,a1d090000002GpZAAU,0010900001qbWstAAE,salesforce,2023-02-24,2023-02-27,2024-02-26,,2024-02-26,1,New Business,Property services company
600,600,a1d090000002O1aAAE,0010900001qbxqdAAA,salesforce,2023-04-05,2023-04-03,2024-04-02,,2024-04-02,1,New Business,Residential developer
2500,2500,a1d090000002IK5AAM,0010900001qcFBVAA2,salesforce,2023-03-06,2023-03-06,2024-03-05,,2024-03-05,1,New Business,Residential developer
2500,2500,a1d09000000q52UAAQ,0010900001qcW0xAAE,salesforce,2023-07-20,2023-07-20,2024-07-19,,2024-07-19,1,New Business,Commercial developer
2500,2500,a1d090000002HBCAA2,0010900001qdUlpAAE,salesforce,2023-02-28,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Residential developer
3238.6,2528.77,a1d09000000pyA8AAI,0010900001qdUlpAAE,salesforce,2023-06-20,2023-06-20,2024-03-30,,2024-03-30,0,Additional User,Residential developer
2500,2500,a1d09000000pwsSAAQ,0010900001qe9c9AAA,salesforce,2023-06-14,2023-06-30,2024-06-29,,2024-06-29,1,New Business,Residential developer
2500,2500,a1d09000000q1W2AAI,0010900001qeGIpAAM,salesforce,2023-07-05,2023-07-05,2024-07-04,,2024-07-04,1,New Business,Residential developer
810.81,2500,a1d090000002Ks2AAE,0010900001skbLAAAY,salesforce,2023-03-22,2023-03-22,2026-03-21,,2026-03-21,4,New Business,Consultant
2500,2500,a1d090000002Io7AAE,0010900001skke2AAA,salesforce,2023-03-09,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Consultant
2500,2500,a1d090000002MnZAAU,0010900001skmLkAAI,salesforce,2023-03-31,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Residential developer
2000,2000,a1d09000000q8ZlAAI,0010900001skqVSAAY,salesforce,2023-08-03,2023-08-03,2024-08-02,,2024-08-02,1,Plan Upsell,Residential developer
4500,9000,a1d09000000pluEAAQ,0010900001slLZQAA2,salesforce,2023-04-16,2023-04-16,2025-04-15,,2025-04-15,1,New Business,Residential developer
4378.38,13500,a1d090000002JmrAAE,0010900001slNmiAAE,salesforce,2023-03-16,2023-03-16,2026-03-15,,2026-03-15,1,New Business,Power developer
3500,3500,a1d090000002Iu5AAE,0010900001sm22tAAA,salesforce,2023-03-09,2023-03-09,2024-03-08,,2024-03-08,1,New Business,Residential developer
4000,4000,a1d090000002KaWAAU,0010900001smM36AAE,salesforce,2023-03-21,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Residential developer
2500,2500,a1d09000000pnMsAAI,0010900001sncPSAAY,salesforce,2023-04-24,2023-04-24,2024-04-23,,2024-04-23,1,New Business,Property services company
6000,6000,a1d09000000po5VAAQ,0010900001snDOfAAM,salesforce,2023-04-28,2023-04-28,2024-04-27,,2024-04-27,1,New Business,Residential developer
10000,10000,a1d090000002KnbAAE,0010900001sntyZAAQ,salesforce,2023-03-22,2023-03-22,2024-03-21,,2024-03-21,3,New Business,Property services company
7978.14,8000,a1d09000000pxKbAAI,0010900001snvVzAAI,salesforce,2023-06-16,2023-06-21,2024-06-20,,2024-06-20,3,Additional User,Residential developer
4500,4500,a1d09000000q0GIAAY,0010900001uzwiYAAQ,salesforce,2023-06-29,2023-06-29,2024-06-28,,2024-06-28,1,New Business,Residential developer
0,0,a1d09000000q7xNAAQ,0010900001uzwiYAAQ,salesforce,2023-06-29,2023-06-29,2024-06-28,,2024-06-28,1,Additional User,Residential developer
3600,3600,a1d090000002MnFAAU,0010900001v0jJ8AAI,salesforce,2023-03-31,2023-03-31,2024-03-30,,2024-03-30,1,New Business,Property services company
5400,5400,a1d09000000poYDAAY,0010900001v0rjNAAQ,salesforce,2023-05-01,2023-05-01,2024-04-30,,2024-04-30,1,New Business,Consultant
5000,5000,a1d09000000pnWuAAI,0010900001v120mAAA,salesforce,2023-04-25,2023-04-25,2024-04-24,,2024-04-24,1,New Business,Property services company
9000,9000,a1d090000002MlEAAU,0010900001v2wtGAAQ,salesforce,2023-03-31,2023-03-31,2024-03-30,,2024-03-30,3,New Business,Government
9000,18000,a1d09000000pmzAAAQ,0010900001v38dKAAQ,salesforce,2023-04-21,2023-04-30,2025-04-29,,2025-04-29,4,New Business,Asset Manager / Investor
540,540,a1d09000000pm1jAAA,0010900001xG1yRAAS,salesforce,2023-04-17,2023-04-17,2024-04-16,,2024-04-16,1,New Business,Residential developer
500,1000,a1d090000002OkzAAE,0010900001xGIYqAAO,salesforce,2023-04-11,2023-04-07,2025-04-06,,2025-04-06,2,New Business,Residential developer
4500,4500,a1d09000000psb7AAA,0010900001yjCSzAAM,salesforce,2023-05-23,2023-05-24,2024-05-23,,2024-05-23,1,New Business,Consultant
2750,2750,a1d09000000po5uAAA,0010900001yjozDAAQ,salesforce,2023-04-28,2023-04-28,2024-04-27,,2024-04-27,1,New Business,Residential developer
5500,5500,a1d09000000prRPAAY,0010900001yjtPmAAI,salesforce,2023-05-18,2023-05-18,2024-05-17,,2024-05-17,1,New Business,Residential developer
2500,2500,a1d09000000ptuoAAA,0010900001ykBaEAAU,salesforce,2023-05-30,2023-05-30,2024-05-29,,2024-05-29,1,New Business,Commercial developer
4750,4750,a1d09000000posmAAA,0010900001yl3neAAA,salesforce,2023-05-03,2023-05-03,2024-05-02,,2024-05-02,1,New Business,Residential developer
2500,2500,a1d09000000pmmzAAA,0010900001yVuKSAA0,salesforce,2023-04-20,2023-04-30,2024-04-29,,2024-04-29,1,New Business,Residential developer
3000,3000,a1d7U000000QQPGQA4,0010900001yWvBKAA0,salesforce,2022-07-15,2022-07-15,2023-07-14,,2023-07-14,1,Renewal,Commercial developer
3300,3300,a1d09000000psOSAAY,0010900001yWvBKAA0,salesforce,2023-05-23,2023-07-15,2024-07-14,,2024-07-14,1,Renewal,Commercial developer
594,594,a1d09000000pqrHAAQ,00109000020nuguAAA,salesforce,2023-05-15,2023-05-11,2024-05-10,,2024-05-10,1,New Business,Agent
600,600,a1d09000000q1YhAAI,00109000020ri2fAAA,salesforce,2023-07-05,2023-07-05,2024-07-04,,2024-07-04,1,New Business,Residential developer
2500,2500,a1d09000000pwXAAAY,00109000020rKxxAAE,salesforce,2023-06-12,2023-06-30,2024-06-29,,2024-06-29,1,New Business,Residential developer
6000,6000,a1d09000000pr3mAAA,00109000022ENCgAAO,salesforce,2023-05-16,2023-05-16,2024-05-15,,2024-05-15,1,New Business,Residential developer
2500,2500,a1d09000000ptujAAA,00109000022EQ5nAAG,salesforce,2023-05-30,2023-05-30,2024-05-29,,2024-05-29,1,New Business,Residential developer
3600,3600,a1d09000000q0y5AAA,00109000022EWFwAAO,salesforce,2023-07-03,2023-07-03,2024-07-02,,2024-07-02,1,New Business,Residential developer
5000,5000,a1d09000000pvs7AAA,00109000022Gf1AAAS,salesforce,2023-06-09,2023-06-09,2024-06-08,,2024-06-08,1,New Business,Residential developer
4000,4000,a1d09000000pu2iAAA,00109000022GqOAAA0,salesforce,2023-05-31,2023-05-31,2024-05-30,,2024-05-30,1,New Business,Residential developer
2000,2000,a1d09000000q70pAAA,00109000022HC09AAG,salesforce,2023-07-27,2023-07-27,2024-07-26,,2024-07-26,1,New Business,Residential developer
540,540,a1d09000000pvtUAAQ,00109000022IA0NAAW,salesforce,2023-06-09,2023-06-09,2023-07-27,2023-07-27,2024-06-08,1,New Business,Residential developer
2500,2500,a1d09000000puJoAAI,00109000023v9EtAAI,salesforce,2023-06-01,2023-06-01,2024-05-31,,2024-05-31,1,New Business,Asset Manager / Investor
2500,2500,a1d09000000pvgaAAA,00109000023vR8oAAE,salesforce,2023-06-08,2023-06-08,2024-06-07,,2024-06-07,1,New Business,Residential developer
1550,1550,a1d09000000pyMnAAI,00109000023wa8XAAQ,salesforce,2023-06-21,2023-06-23,2024-06-22,,2024-06-22,1,New Business,Residential developer
600,600,a1d09000000pv9qAAA,00109000023wcMpAAI,salesforce,2023-06-06,2023-06-06,2024-06-05,,2024-06-05,1,New Business,Residential developer
2000,2000,a1d09000000q6z8AAA,00109000023wfqbAAA,salesforce,2023-07-27,2023-07-31,2024-07-30,,2024-07-30,1,New Business,Residential developer
2000,2000,a1d09000000q8AlAAI,00109000023wgWdAAI,salesforce,2023-08-01,2023-08-31,2024-08-30,,2024-08-30,1,New Business,Residential developer
3500,3500,a1d09000000pyCTAAY,00109000023xY3mAAE,salesforce,2023-06-20,2023-06-30,2024-06-29,,2024-06-29,1,New Business,Power developer
600,600,a1d09000000pydeAAA,00109000023yiQTAAY,salesforce,2023-06-22,2023-06-22,2024-06-21,,2024-06-21,1,New Business,Residential developer
10000,10000,a1d09000000pxNaAAI,00109000026QRSYAA4,salesforce,2023-06-16,2023-06-16,2024-06-15,,2024-06-15,3,New Business,Government
2500,2500,a1d09000000q4SMAAY,00109000026Rr0BAAS,salesforce,2023-07-18,2023-07-31,2024-07-30,,2024-07-30,1,New Business,Residential developer
1620,1620,a1d09000000q7vvAAA,00109000026SYIvAAO,salesforce,2023-07-31,2023-07-31,2024-07-30,,2024-07-30,1,New Business,Commercial developer
2500,2500,a1d09000000q1CgAAI,00109000026TVVNAA4,salesforce,2023-07-04,2023-07-04,2024-07-03,,2024-07-03,1,New Business,Consultant
6000,6000,a1d09000000q0TgAAI,00109000026ULktAAG,salesforce,2023-06-30,2023-06-30,2024-06-29,,2024-06-29,2,New Business,Power developer
2500,2500,a1d09000000q0FAAAY,00109000028FWBKAA4,salesforce,2023-06-29,2023-06-29,2024-06-28,,2024-06-28,1,New Business,Residential developer
4500,4500,a1d09000000q1WqAAI,00109000028H3CXAA0,salesforce,2023-07-05,2023-07-05,2024-07-04,,2024-07-04,1,New Business,Residential developer
6000,6000,a1d09000000q5ImAAI,00109000028HqPHAA0,salesforce,2023-07-21,2023-07-21,2024-07-20,,2024-07-20,1,New Business,Residential developer
4000,4000,a1d09000000q7wZAAQ,00109000028IrL1AAK,salesforce,2023-07-31,2023-07-28,2024-07-27,,2024-07-27,1,New Business,Residential developer
500,500,a1d09000000q7wjAAA,00109000028IrL1AAK,salesforce,2023-07-31,2023-07-28,2024-07-27,,2024-07-27,1,New Business,Residential developer
3000,3000,a1d09000000q57ZAAQ,00109000028ITZjAAO,salesforce,2023-07-20,2023-07-31,2024-07-30,,2024-07-30,1,New Business,Residential developer
6000,6000,a1d09000000q5MAAAY,0010900002ALhinAAD,salesforce,2023-07-21,2023-07-20,2024-07-19,,2024-07-19,2,New Business,Power developer
2575.6,1750,a1d2o00000Wc4JsAAJ,0010Y00000adhgHQAQ,salesforce,2021-02-25,2021-02-25,2021-10-30,,2021-10-30,1,Additional User,Agent
5000,5000,a1d1n00000ErZGBAA3,0010Y00000adhgHQAQ,salesforce,2017-10-21,2017-10-21,2018-10-21,,2018-10-21,1,New Business,Agent
17700,17700,a1d2o00000YZ3PEAA1,0010Y00000adhgHQAQ,salesforce,2021-11-03,2021-11-01,2022-10-31,,2022-10-31,7,Renewal,Agent
13500,13500,a1d2o00000Wbv0CAAR,0010Y00000adhgHQAQ,salesforce,2020-11-02,2020-10-31,2021-10-30,,2021-10-30,6,Renewal,Agent
19450,19450,a1d7U0000004SZqQAM,0010Y00000adhgHQAQ,salesforce,2022-11-03,2022-11-03,2023-11-02,,2023-11-02,7,Renewal,Agent
10500,10500,a1d1n00000ErZLCAA3,0010Y00000adhgHQAQ,salesforce,2019-11-12,2019-10-31,2020-10-30,,2020-10-30,5,Renewal,Agent
10500,10500,a1d1n00000ErZKuAAN,0010Y00000adhgHQAQ,salesforce,2018-10-31,2018-10-31,2019-10-30,,2019-10-30,5,Renewal,Agent
5000,5000,a1d1n00000ErZFvAAN,0010Y00000adhhFQAQ,salesforce,2017-09-14,2017-10-31,2018-10-30,,2018-10-30,1,New Business,Property services company
6000,6000,a1d2o00000YZ4rGAAT,0010Y00000adhiDQAQ,salesforce,2021-11-24,2021-11-24,2022-11-23,,2022-11-23,2,Plan Upsell,Agent
6000,6000,a1d0900000029AKAAY,0010Y00000adhiDQAQ,salesforce,2022-11-15,2022-11-24,2023-11-23,,2023-11-23,2,Renewal,Agent
4500,4500,a1d2o00000YZ3WaAAL,0010Y00000adhxnQAA,salesforce,2021-11-04,2021-10-30,2022-10-29,,2022-10-29,1,Renewal,Agent
4500,4500,a1d2o00000WbuzTAAR,0010Y00000adhxnQAA,salesforce,2020-10-30,2020-10-30,2021-10-29,,2021-10-29,1,New Business,Agent
3000,3000,a1d090000002F8bAAE,0010Y00000adnYtQAI,salesforce,2023-02-10,2023-01-31,2024-01-30,,2024-01-30,1,Renewal,Consultant
12000,12000,a1d2o00000Wc2BwAAJ,0010Y00000adnYtQAI,salesforce,2021-01-29,2021-01-31,2022-01-30,,2022-01-30,4,Renewal,Consultant
7500,7500,a1d1n00000ErZLqAAN,0010Y00000adnYtQAI,salesforce,2019-01-11,2019-01-31,2020-01-30,,2020-01-30,3,New Business,Consultant
9000,9000,a1d1n00000ErZOyAAN,0010Y00000adnYtQAI,salesforce,2020-01-30,2020-01-31,2021-01-30,,2021-01-30,3,Renewal,Consultant
13000,13000,a1d7U000000PFONQA4,0010Y00000adnYtQAI,salesforce,2022-01-28,2022-01-31,2023-01-30,,2023-01-30,4,Renewal,Consultant
5000,5000,a1d1n00000ErZFtAAN,0010Y00000c9kzFQAQ,salesforce,2017-09-13,2017-09-13,2018-05-29,2018-05-29,2018-09-13,1,New Business,Property services company
1934.63,1500,a1d1n00000ErZJeAAN,0010Y00000cA1CsQAK,salesforce,2019-10-10,2019-10-10,2020-07-18,,2020-07-18,1,Additional User,Property services company
2027.82,1833.37,a1d1n00000ErZFyAAN,0010Y00000cA1CsQAK,salesforce,2017-09-24,2017-08-24,2018-07-19,,2018-07-19,1,Additional User,Property services company
1999.03,1298,a1d1n00000ErZK2AAN,0010Y00000cA1CsQAK,salesforce,2019-11-25,2019-11-25,2020-07-18,,2020-07-18,1,Additional User,Property services company
1988.05,1073,a1d1n00000ErZFdAAN,0010Y00000cA1CsQAK,salesforce,2018-01-04,2018-01-04,2018-07-19,,2018-07-19,1,Additional User,Property services company
5584.7,5600,a1d1n00000ErZHDAA3,0010Y00000cA1CsQAK,salesforce,2019-07-19,2019-07-19,2020-07-18,,2020-07-18,4,Additional User,Property services company
26400,26400,a1d1n00000ErZLAAA3,0010Y00000cA1CsQAK,salesforce,2019-07-10,2019-07-19,2020-07-18,,2020-07-18,12,Renewal,Property services company
45000,90000,a1d2o00000YIrwmAAD,0010Y00000cA1CsQAK,salesforce,2021-07-26,2021-07-19,2023-07-18,,2023-07-18,20,Renewal,Property services company
26400,26400,a1d1n00000ErZLHAA3,0010Y00000cA1CsQAK,salesforce,2018-07-19,2018-07-19,2019-07-18,,2019-07-18,12,Renewal,Property services company
13000,13000,a1d2o00000Wc9Z8AAJ,0010Y00000cA1CsQAK,salesforce,,2017-07-17,2018-07-16,,2018-07-16,5,New Business,Property services company
39600,39600,a1d1n00000D7XZGAA3,0010Y00000cA1CsQAK,salesforce,2020-06-29,2020-07-19,2021-07-18,,2021-07-18,18,Renewal,Property services company
10000,10000,a1d1n00000ErZSpAAN,0010Y00000flYFYQA2,salesforce,2020-04-30,2020-04-28,2021-04-28,,2021-04-28,3,Renewal,Residential developer
9000,9000,a1d1n00000ErZZ8AAN,0010Y00000flYFYQA2,salesforce,2019-04-28,2019-04-28,2020-04-27,,2020-04-27,2,Renewal,Residential developer
31900,31900,a1d7U000000PmDPQA0,0010Y00000flYFYQA2,salesforce,2022-04-21,2022-04-28,2023-04-27,,2023-04-27,12,Renewal,Residential developer
10000,10000,a1d1n00000ErZMlAAN,0010Y00000flYFYQA2,salesforce,2018-09-08,2018-09-08,2019-09-08,,2019-09-08,4,Renewal,Residential developer
26000,26000,a1d2o00000Wc8APAAZ,0010Y00000flYFYQA2,salesforce,2021-04-28,2021-04-28,2022-04-27,,2022-04-27,10,Renewal,Residential developer
31900,31900,a1d090000002HKgAAM,0010Y00000flYFYQA2,salesforce,2023-03-01,2023-04-28,2024-04-27,,2024-04-27,11,Renewal,Residential developer
3421.88,1500,a1d2o00000WbwqbAAB,0010Y00000flYFYQA2,salesforce,2020-11-20,2020-11-20,2021-04-28,,2021-04-28,1,Additional User,Residential developer
7000,7000,a1d1n00000ErZFsAAN,0010Y00000flYFYQA2,salesforce,2017-09-12,2017-09-12,2018-09-12,,2018-09-12,2,New Business,Residential developer
3097.29,1569.86,a1d2o00000YZ2d0AAD,0010Y00000flYFYQA2,salesforce,2021-10-25,2021-10-25,2022-04-27,,2022-04-27,2,Additional User,Residential developer
5383.75,3540,a1d7U000000QmY5QAK,0010Y00000flYFYQA2,salesforce,2022-09-30,2022-08-31,2023-04-27,,2023-04-27,2,Additional User,Residential developer
3173.91,1400,a1d1n00000ErZRQAA3,0010Y00000flYFYQA2,salesforce,2019-11-19,2019-11-19,2020-04-27,,2020-04-27,1,Additional User,Residential developer
3500,3500,a1d2o00000Wc9ZAAAZ,0010Y00000fpTfkQAE,salesforce,,2017-08-28,2018-08-27,,2018-08-27,1,Renewal,Residential developer
2800,2800,a1d2o00000Wc9Z9AAJ,0010Y00000fpTfkQAE,salesforce,,2016-08-26,2017-08-25,,2017-08-25,1,New Business,Residential developer
3500,3500,a1d2o00000Wc9brAAB,0010Y00000fpTfkQAE,salesforce,,2017-08-28,2018-08-27,,2018-08-27,1,Renewal,Residential developer
1800,1800,a1d2o00000Wc9ZBAAZ,0010Y00000jUK7cQAG,salesforce,,2016-10-07,2017-10-06,,2017-10-06,1,New Business,Other
1800,1800,a1d2o00000Wc9ZCAAZ,0010Y00000jUK7dQAG,salesforce,,2016-10-12,2017-10-11,,2017-10-11,1,New Business,Agent
1800,1800,a1d2o00000Wc9ZDAAZ,0010Y00000jUK7eQAG,salesforce,,2016-10-20,2017-10-19,,2017-10-19,1,New Business,Agent
5600,5600,a1d1n00000ErZeNAAV,0010Y00000jUK7fQAG,salesforce,2018-10-11,2018-10-24,2019-10-23,,2019-10-23,1,Renewal,Residential developer
4500,4500,a1d7U000000Q9BaQAK,0010Y00000jUK7fQAG,salesforce,2022-06-16,2022-06-16,2023-06-15,,2023-06-15,1,New Business,Residential developer
3375,3375,a1d2o00000Wc9ZFAAZ,0010Y00000jUK7fQAG,salesforce,,2016-10-24,2017-10-23,,2017-10-23,1,New Business,Residential developer
5000,5000,a1d2o00000Wc9ZEAAZ,0010Y00000jUK7fQAG,salesforce,,2017-10-24,2018-10-23,,2018-10-23,1,Renewal,Residential developer
500,500,a1d2o00000Wc9ZGAAZ,0010Y00000jUK7gQAG,salesforce,,2016-10-27,2017-10-26,,2017-10-26,1,New Business,Asset Manager / Investor
6500,6500,a1d2o00000Wc9ZHAAZ,0010Y00000jUK7hQAG,salesforce,,2017-12-01,2018-11-30,,2018-11-30,2,Renewal,Residential developer
6000,6000,a1d2o00000Wc1rWAAR,0010Y00000jUK7hQAG,salesforce,2021-01-26,2021-01-26,2022-01-25,,2022-01-25,1,Renewal,Residential developer
4250,4250,a1d2o00000Wc9ZIAAZ,0010Y00000jUK7hQAG,salesforce,,2017-12-01,2018-11-30,,2018-11-30,1,New Business,Residential developer
4500,4500,a1d2o00000Wc9ZKAAZ,0010Y00000jUK7hQAG,salesforce,,2016-11-07,2017-11-06,,2017-11-06,1,New Business,Residential developer
6000,6000,a1d2o00000Wc9ZJAAZ,0010Y00000jUK7hQAG,salesforce,,2020-02-29,2021-02-28,,2021-02-28,1,Renewal,Residential developer
6000,6000,a1d1n00000ErZgvAAF,0010Y00000jUK7hQAG,salesforce,2019-02-09,2019-02-09,2020-02-08,,2020-02-08,1,Renewal,Residential developer
7500,7500,a1d0900000029YWAAY,0010Y00000jUK7iQAG,salesforce,2022-11-25,2022-11-29,2023-11-28,,2023-11-28,2,Renewal,Residential developer
3500,3500,a1d2o00000Wc9ZMAAZ,0010Y00000jUK7iQAG,salesforce,,2016-11-08,2017-11-07,,2017-11-07,1,New Business,Residential developer
7000,7000,a1d2o00000WbunwAAB,0010Y00000jUK7iQAG,salesforce,2020-10-29,2020-11-29,2021-11-28,,2021-11-28,2,Renewal,Residential developer
4060,4060,a1d2o00000Wc9ZLAAZ,0010Y00000jUK7iQAG,salesforce,,2017-12-19,2018-12-18,,2018-12-18,1,Renewal,Residential developer
8000,8000,a1d2o00000Wc9ZNAAZ,0010Y00000jUK7iQAG,salesforce,,2018-11-29,2019-11-28,,2019-11-28,2,Renewal,Residential developer
9500,9500,a1d1n00000ErZOXAA3,0010Y00000jUK7iQAG,salesforce,2019-10-23,2019-11-29,2020-11-28,,2020-11-28,3,Renewal,Residential developer
8500,8500,a1d2o00000YZ1aeAAD,0010Y00000jUK7iQAG,salesforce,2021-10-12,2021-11-29,2022-11-28,,2022-11-28,3,Renewal,Residential developer
5000,5000,a1d2o00000Wc9ZOAAZ,0010Y00000jUK7jQAG,salesforce,,2017-12-19,2018-12-18,,2018-12-18,1,New Business,Residential developer
3000,3000,a1d2o00000Wc9ZPAAZ,0010Y00000jUK7jQAG,salesforce,,2016-11-14,2017-11-13,,2017-11-13,1,New Business,Residential developer
